,valor,metragem,nquartos,nsuites,nchuveiros,nelevador,nvagas,condominio,proximometro
0,740000,120,3,0,1,2,0,1166,Sim
1,650000,55,2,0,1,2,1,840,Sim
2,620000,77,1,0,1,2,1,900,Sim
3,1399000,88,3,1,1,3,2,1400,Sim
4,880000,97,2,1,1,2,0,980,Sim
5,1090000,82,2,0,1,2,0,812,Sim
6,740000,120,3,0,1,2,0,1166,Sim
7,650000,55,2,0,1,2,1,840,Sim
8,620000,77,1,0,1,2,1,900,Sim
9,1399000,88,3,1,1,3,2,1400,Sim
10,880000,97,2,1,1,2,0,980,Sim
11,1090000,82,2,0,1,2,0,812,Sim
12,2150000,82,2,2,0,2,2,1500,Sim
13,1490000,145,3,1,1,2,2,2500,Sim
14,2320000,100,3,1,1,2,2,1490,Não
15,890000,93,2,2,0,2,2,1390,Não
16,1500000,50,2,0,1,2,1,1000,Sim
17,800000,70,3,1,1,2,2,604,Não
18,1430000,85,2,1,1,2,2,1400,Não
19,1395000,102,2,2,0,2,2,1950,Não
20,1290000,71,2,1,1,3,2,1467,Sim
21,900000,176,3,1,1,1,0,1150,Sim
22,2250000,160,2,1,1,4,2,2100,Sim
23,1300000,74,3,1,1,2,2,1511,Sim
24,1650000,215,4,2,1,2,0,2000,Sim
25,410000,57,1,0,1,1,0,500,Sim
26,750000,55,1,0,1,2,1,1314,Não
27,5058100,516,4,2,1,2,1,5365,Sim
28,670000,76,2,0,1,2,1,1360,Não
29,1600000,105,2,1,1,2,3,1300,Não
30,1000000,98,3,1,1,2,1,1750,Não
31,3500000,149,3,3,0,2,2,2300,Sim
32,550000,84,2,0,1,2,0,700,Sim
33,1300000,61,2,1,1,2,1,1430,Sim
34,620000,56,2,0,1,2,0,858,Sim
35,900000,75,2,1,1,2,0,850,Não
36,685000,85,2,1,1,2,2,870,Não
37,850000,64,2,1,1,2,2,810,Sim
38,2700000,114,1,1,0,2,2,2250,Sim
39,1171000,60,2,1,1,2,2,1400,Sim
40,695000,40,1,0,1,2,0,350,Sim
41,2100000,86,1,1,1,2,2,2700,Sim
42,1280000,150,3,1,1,2,1,1850,Sim
43,705000,53,2,0,1,2,1,680,Sim
44,1250000,63,2,1,1,2,2,651,Sim
45,695000,79,3,1,1,2,1,1630,Sim
46,780000,89,3,0,1,2,1,1100,Sim
47,688000,75,2,0,1,2,0,480,Não
48,1320000,55,2,1,1,3,1,507,Sim
49,1590000,150,3,1,1,2,1,2300,Sim
50,600000,64,2,1,1,2,1,800,Não
51,923000,50,1,1,1,3,1,670,Sim
52,980000,60,2,1,1,2,1,1177,Sim
53,840000,100,2,2,3,2,0,800,Sim
54,1140000,120,3,1,1,2,1,1566,Sim
55,2100000,140,2,1,1,2,2,2910,Sim
56,900000,100,3,1,1,2,2,1778,Sim
57,2200000,95,2,2,0,2,2,1700,Sim
58,1500000,98,2,1,1,2,1,992,Sim
59,1000000,190,3,1,1,2,0,1450,Sim
60,1170000,150,3,0,1,2,2,1800,Não
61,850000,57,1,1,0,3,1,983,Sim
62,1295000,136,3,1,2,2,1,1350,Sim
63,1920000,160,3,1,1,1,2,2800,Sim
64,940000,96,2,0,1,2,1,1366,Sim
65,1383000,160,3,1,1,2,0,1000,Sim
66,950000,96,3,0,2,2,1,2464,Sim
67,2300000,156,3,3,0,2,3,2275,Sim
68,690000,68,2,1,1,2,1,720,Sim
69,640000,80,3,1,1,2,2,1528,Não
70,1595900,86,2,2,0,2,2,824,Não
71,1095000,128,2,0,1,2,0,1200,Sim
72,1240000,123,2,1,2,2,1,1904,Sim
73,960000,63,2,1,1,3,2,900,Sim
74,1290000,90,1,1,0,2,1,1800,Sim
